Regione,Popolazione,Superficie
Lombardia,10060574,23863,65
Lazio,5879082,17232,29
Campania,5801692,13670,95
Sicilia,4999891,25832,39
Veneto,4905854,18345,35
Emilia-Romagna,4459477,22452,78
Piemonte,4356406,25387,07
Puglia,4029053,19540,90
Toscana,3729641,22987,04
Calabria,1947131,15221,90
Sardegna,1639591,24100,02
Liguria,1550640,5416,21
Marche,1525271,9401,38
Abruzzo,1311580,10831,84
Friuli Venezia Giulia,1215220,7924,36
Trentino-Alto Adige,1072276,13605,50
Umbria,882015,8464,33
Basilicata,562869,10073,32
Molise,305617,4460,65
Valle d'Aosta,125666,3260
